SMILES,MolecularWeight,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,CovalentUnitCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,pIC50
ClC1=CC(NC(=O)CSC2=NC=CC(=N2)C2=CSC(=N2)C2=CC=CC=C2)=CC(Cl)=C1,473.4,5.6,471.998609,471.998609,121,559,0,1,6,6,30,0,0,0,0,0,0,1,341.3,9.21,5.63,1.97,9,3,1,0,1,4,0,1,7,10,-0.477121255
CN1N=C(C=C1C(F)(F)F)C1=CC=C(S1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,510,4.9,509.035865,509.035865,126,670,0,1,9,6,33,0,0,0,0,0,0,1,360.6,12.71,5.23,1.68,9,3,1,0,1,4,0,1.2,8,10,-1
CSC1=C(C(C)=C(S1)C1=NC(C)=CS1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,519.1,6.3,518.013024,518.013024,175,627,0,1,8,7,32,0,0,0,0,0,0,1,376.7,9.56,5.75,2.12,10,3,1,0,1,4,1,1,8,10,-1.041392685
CSC1=C(C(C)=C(S1)C1=NC(C)=CS1)C1=CC=NC(SCC(=O)NC2=CC=CC=C2Cl)=N1,519.1,6.3,518.013024,518.013024,175,635,0,1,8,7,32,0,0,0,0,0,0,1,376.8,9.01,5.52,2.36,10,3,1,0,1,4,1,1.2,8,10,BLINDED
CC1=NC(=CS1)C1=NC(=CS1)C1=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=NC=C1,460,4.4,459.004901,459.004901,162,554,0,1,8,6,29,0,0,0,0,0,0,1,332.3,10.12,5.41,1.57,10,4,1,0,1,4,0,1,7,10,-1.146128036
ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=CC=CC=C2)C=C1,422.9,4.4,422.060425,422.060425,106,529,0,1,6,6,29,0,0,0,0,0,0,1,316.6,10.38,5.83,1.05,9,3,1,0,1,4,0,1,7,10,-1.176091259
FC(F)(F)C1=CC=C(NC(=O)CSC2=NC(=CC=N2)C2=CC(=NO2)C2=CC=C(Cl)C=C2Cl)C=C1,525.3,5.9,524.008837,524.008837,106,687,0,1,9,6,34,0,0,0,0,0,0,1,368.4,11.83,6,1.32,9,3,1,0,1,4,0,1,8,10,-1.176091259
ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=C(Cl)C=CC=C2)C=C1,457.3,5,456.021452,456.021452,106,567,0,1,6,6,30,0,0,0,0,0,0,1,332.2,10.23,5.86,1.35,9,3,1,0,1,4,0,1,7,10,-1.176091259
CCCC1=CC(Cl)=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,356.3,4.7,355.031289,355.031289,80.2,354,0,1,4,6,22,0,0,0,0,0,0,1,260.7,8.02,3.97,2.5,7,2,1,0,1,2,1,0.8,7,10,-1.477121255
COC1=CC(=CC=C1)C1=C(C#N)C(=O)NC(SCC(=O)NC2=CC=C(C=C2)S(N)(=O)=O)=N1,471.5,1.2,471.067111,471.067111,197,955,0,3,9,7,32,0,0,0,0,0,0,1,342.8,9.33,5.55,2.17,12,6,3,0,0,3,0,1.2,8,10,-1.602059991
